City,Lat,Lng,Temperature,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Touros,-5.1989,-35.4608,27.0,27.0,78,40,2.57,BR,1613268475
Qaanaaq,77.484,-69.3632,-13.55,-13.55,76,0,2.63,GL,1613268476
New Norfolk,-42.7826,147.0587,21.18,23.33,35,0,1.34,AU,1613268476
Jumla,29.2747,82.1838,5.19,5.19,63,100,1.34,NP,1613268477
Chokurdakh,70.6333,147.9167,-28.45,-28.45,78,0,0.56,RU,1613268477
Kloulklubed,7.0419,134.2556,29.0,29.0,70,90,2.06,PW,1613268477
Severo-Kuril'sk,50.6789,156.125,-2.93,-2.93,92,97,4.29,RU,1613268477
Bredasdorp,-34.5322,20.0403,18.0,18.0,88,0,1.54,ZA,1613268478
Dicabisagan,17.0818,122.4157,25.46,25.46,67,46,2.27,PH,1613268478
Provideniya,64.3833,-173.3,-12.0,-12.0,91,100,7.51,RU,1613268478
Varhaug,58.6147,5.6457,-3.47,-3.0,68,20,4.63,NO,1613268478
Cap-aux-Meules,47.3821,-61.8597,-5.0,-5.0,74,100,5.14,CA,1613268479
Kapaa,22.0752,-159.319,25.44,26.0,69,90,4.12,US,1613268479
Katsuura,35.1333,140.3,13.28,15.56,58,100,0.89,JP,1613268480
Cayenne,4.9333,-52.3333,27.0,27.0,78,90,5.14,GF,1613268480
Limbe,4.0242,9.2149,26.22,27.0,100,40,1.03,CM,1613268480
Barrow,71.2906,-156.7887,-24.0,-24.0,77,75,4.63,US,1613268480
Kuytun,54.3419,101.5036,-21.61,-21.61,91,100,1.25,RU,1613268481
Yumen,40.2833,97.2,-1.96,-1.96,86,0,6.13,CN,1613268481
Carnarvon,-24.8667,113.6333,30.0,30.0,79,40,3.6,AU,1613268481
Kavieng,-2.5744,150.7967,28.99,28.99,74,75,2.98,PG,1613268481
Te Anau,-45.4167,167.7167,13.84,13.84,85,100,1.04,NZ,1613268482
Kavaratti,10.5669,72.642,27.15,27.15,63,100,2.61,IN,1613268482
La Ronge,55.1001,-105.2842,-25.49,-24.0,70,77,1.03,CA,1613268482
Chokwé,-24.5333,32.9833,23.91,23.91,94,100,3.35,MZ,1613268483
Ostrovnoy,68.0531,39.5131,-21.63,-21.63,91,69,2.21,RU,1613268483
Bambous Virieux,-20.3428,57.7575,25.26,26.0,83,40,5.66,MU,1613268483
Alice Springs,-23.7,133.8833,29.0,30.56,47,2,4.12,AU,1613268483
Avarua,-21.2078,-159.775,30.0,30.0,74,20,3.09,CK,1613268484
Bluff,-46.6,168.3333,14.27,14.27,82,100,2.24,NZ,1613268484
Wilmington Island,32.0036,-80.9737,6.87,7.22,93,90,3.6,US,1613268484
Faanui,-16.4833,-151.75,27.72,27.72,68,27,2.08,PF,1613268485
Thompson,55.7435,-97.8558,-29.0,-29.0,76,40,1.03,CA,1613268485
South Yuba City,39.1166,-121.6391,13.37,14.0,44,1,3.09,US,1613268485
Nanortalik,60.1432,-45.2371,0.81,0.81,89,100,0.63,GL,1613268485
Cidreira,-30.1811,-50.2056,23.24,23.24,86,97,2.47,BR,1613268486
Katherine,-14.4667,132.2667,29.0,29.0,74,90,2.57,AU,1613268486
Tuktoyaktuk,69.4541,-133.0374,-23.0,-23.0,77,75,2.57,CA,1613268486
Mataura,-46.1927,168.8643,17.59,17.59,63,100,0.46,NZ,1613268486
Nha Trang,12.25,109.1833,24.0,24.0,60,20,2.57,VN,1613268487
Mar del Plata,-38.0023,-57.5575,20.8,21.11,94,75,2.57,AR,1613268487
Cherskiy,68.75,161.3,-20.22,-20.22,85,100,4.44,RU,1613268487
George Town,5.4112,100.3354,26.74,28.0,73,20,1.54,MY,1613268488
Puerto Ayora,-0.7393,-90.3518,25.56,25.56,90,81,0.45,EC,1613268488
Pasinler,39.9803,41.6764,0.0,0.0,74,75,1.03,TR,1613268488
Broome,42.2506,-75.833,-3.78,-2.78,42,90,2.57,US,1613268489
Dikson,73.5069,80.5464,-29.48,-29.48,88,100,5.43,RU,1613268489
Bethel,41.3712,-73.414,-3.62,-3.0,43,90,2.57,US,1613268489
Rikitea,-23.1203,-134.9692,26.76,26.76,73,97,4.67,PF,1613268489
